Ba065AA008217,BdTR3N      100
Br001AA009188,Bd21-0      100
Ba078AA008230,BdTR5K      100
Br001AB009453,Bd21-0      20
Ba068AA008514,BdTR3R      100
Ba071AA008370,BdTR5A      100
Br002AA009328,Bd21-3      100
Ba016AA008315,Gaz-2      100
Ba015AB009049,Bis-1      20
Ba044AB008784,BdTR2C      20
Ba050AA008349,BdTR2I      100
Ba017AB008904,Gaz-3      20
Ba045AA008197,BdTR2D      100
Ba051AA008497,BdTR2J      100
Ba019AA008318,Gaz-5      100
Ba065AA008658,BdTR3N      100
Ba089AB009123,BDTR9K      20
Ba085AB008972,BDTR9A      20
Ba069AA008221,BdTR3S      100
Br001AA009410,Bd21-0      100
Ba075AA008668,BdTR5H      100
Ba086AA008238,BDTR9E      100
Ba068AB009102,BdTR3R      20
Br002AB009365,Bd21-3      20
Br001AA009412,Bd21-0      100
Ba073AB008813,BdTR5E      20
Ba016AB008756,Gaz-2      20
Ba075AB009109,BdTR5H      20
Br002AA009327,Bd21-3      100
Ba016AA008462,Gaz-2      100
Br002AA009263,Bd21-3      100
Br002AB009358,Bd21-3      20
Ba045AB008785,BdTR2D      20
Br001AA009405,Bd21-0      100
Br002AA009257,Bd21-3      100
Br002AA009329,Bd21-3      100
Ba043AB008783,BdTR2B      20
Ba048AB008788,BdTR2G      20
Ba020AA008466,Gaz-7      100
Ba044AB009078,BdTR2C      20
Ba047AB009081,BdTR2F      20
Ba045AB009079,BdTR2D      20
Ba145AA008591,Fon2      100
Ba050AA008496,BdTR2I      100
Ba017AA008610,Gaz-3      100
Br001AB009451,Bd21-0      20
Ba015AA008167,Bis-1      100
Ba017AB009051,Gaz-3      20
Ba089AA008535,BDTR9K      100
Ba051AB009085,BdTR2J      20
Br002AA009330,Bd21-3      100
Ba145AB008885,Fon2      20
Br001AA009400,Bd21-0      100
Br001AB009450,Bd21-0      20
Ba073AB009107,BdTR5E      20
Ba046AA008198,BdTR2E      100
Ba054AA008647,BdTR2N      100
Ba048AB009082,BdTR2G      20
Br002AA009262,Bd21-3      100
Ba020AB008760,Gaz-7      20
Ba044AB008931,BdTR2C      20
Ba044AA008343,BdTR2C      100
Ba045AA008491,BdTR2D      100
Br001AB009449,Bd21-0      20
Ba043AB009077,BdTR2B      20
Ba047AA008199,BdTR2F      100
Ba049AA008201,BdTR2H      100
Ba046AA008345,BdTR2E      100
Br002AA009260,Bd21-3      100
Ba051AA008644,BdTR2J      100
Ba017AB008757,Gaz-3      20
Ba046AA008639,BdTR2E      100
Ba051AB008791,BdTR2J      20
Ba051AA008203,BdTR2J      100
Br002AA009323,Bd21-3      100
Ba051AB008938,BdTR2J      20
Ba018AA008464,Gaz-4      100
Ba020AB008907,Gaz-7      20
Br002AA009264,Bd21-3      100
Br002AA009325,Bd21-3      100
Ba020AA008172,Gaz-7      100
Ba047AB008787,BdTR2F      20
Br001AA009411,Bd21-0      100
Ba045AA008638,BdTR2D      100
Br002AB009367,Bd21-3      20
Ba045AA008344,BdTR2D      100
Br002AB009363,Bd21-3      20
Ba145AA008738,Fon2      100
Ba020AA008319,Gaz-7      100
Ba051AA008350,BdTR2J      100
Br002AB009362,Bd21-3      20
Ba145AB009032,Fon2      20
Ba054AA008353,BdTR2N      100
Ba050AB009084,BdTR2I      20
Ba044AA008490,BdTR2C      100
Ba044AA008637,BdTR2C      100
Ba145AA008297,Fon2      100
Ba017AA008316,Gaz-3      100
Ba043AA008489,BdTR2B      100
Ba018AB008905,Gaz-4      20
Ba046AB009080,BdTR2E      20
Ba049AB009083,BdTR2H      20
Ba054AB009088,BdTR2N      20
Br001AB009446,Bd21-0      20
Br001AB009445,Bd21-0      20
Ba046AB008933,BdTR2E      20
Br002AA009258,Bd21-3      100
Ba048AB008935,BdTR2G      20
Ba046AA008492,BdTR2E      100
Ba017AA008169,Gaz-3      100
Ba050AB008790,BdTR2I      20
Ba049AA008495,BdTR2H      100
Br002AA009253,Bd21-3      100
Br001AA009406,Bd21-0      100
Ba054AB008941,BdTR2N      20
Ba049AB008936,BdTR2H      20
Ba047AA008493,BdTR2F      100
Br002AA009256,Bd21-3      100
Ba049AA008348,BdTR2H      100
Ba048AA008200,BdTR2G      100
Br002AA009254,Bd21-3      100
Ba050AB008937,BdTR2I      20
Br002AA009252,Bd21-3      100
Ba043AA008195,BdTR2B      100
Br001AB009447,Bd21-0      20
Br001AA009408,Bd21-0      100
Ba043AB008930,BdTR2B      20
Ba064AB009098,BdTR3M      20
Ba054AA008206,BdTR2N      100
Br001AA009409,Bd21-0      100
Ba140AB009174,Luc1      20
Ba043AA008342,BdTR2B      100
Ba136AB009170,Yaz3      20
Br002AB009364,Bd21-3      20
Ba018AA008611,Gaz-4      100
Ba020AB009054,Gaz-7      20
Ba018AB008758,Gaz-4      20
Ba070AB008810,BdTR3T      20
Ba074AA008667,BdTR5G      100
Ba145AA008444,Fon2      100
Ba067AA008366,BdTR3P      100
Ba142AB009176,Mon1      20
Ba072AA008224,BdTR5B      100
Ba072AB009106,BdTR5B      20
Ba060AA008506,BdTR3B      100
Ba076AA008522,BdTR5I      100
Br001AB009444,Bd21-0      20
Ba079AB009113,BdTR5M      20
Ba047AA008346,BdTR2F      100
Br002AA009321,Bd21-3      100
Ba043AA008636,BdTR2B      100
Ba064AB008804,BdTR3M      20
Br002AB009366,Bd21-3      20
Ba077AB008964,BdTR5J      20
Br002AB009368,Bd21-3      20
Br001AA009407,Bd21-0      100
Br002AB009360,Bd21-3      20
Ba134AB009168,Mon3      20
Ba072AA008518,BdTR5B      100
Ba067AB009101,BdTR3P      20
Ba134AB009021,Mon3      20
Ba074AB008961,BdTR5G      20
Ba076AA008375,BdTR5I      100
Br002AA009322,Bd21-3      100
Ba136AA008288,Yaz3      100
Br001AA009404,Bd21-0      100
Ba134AB008874,Mon3      20
Ba060AA008212,BdTR3B      100
Ba077AB009111,BdTR5J      20
Br002AA009324,Bd21-3      100
Ba048AA008494,BdTR2G      100
Ba077AA008376,BdTR5J      100
Ba079AB008819,BdTR5M      20
Ba077AA008670,BdTR5J      100
Ba067AB008807,BdTR3P      20
Ba072AB008959,BdTR5B      20
Ba079AA008672,BdTR5M      100
Ba077AB008817,BdTR5J      20
Ba070AB008957,BdTR3T      20
Ba142AB009029,Mon1      20
Ba077AA008523,BdTR5J      100
Br002AA009331,Bd21-3      100
Ba067AA008660,BdTR3P      100
Ba070AA008369,BdTR3T      100
Ba134AA008286,Mon3      100
Br001AA009402,Bd21-0      100
Ba136AB008876,Yaz3      20
Ba060AA008359,BdTR3B      100
Ba079AA008231,BdTR5M      100
Ba134AA008580,Mon3      100
Ba076AA008669,BdTR5I      100
Ba064AA008363,BdTR3M      100
Br002AB009371,Bd21-3      20
Ba074AB008814,BdTR5G      20
Ba054AB008794,BdTR2N      20
Br001AA009401,Bd21-0      100
Ba145AB009179,Fon2      20
Ba047AA008640,BdTR2F      100
Ba065AB008952,BdTR3N      20
Ba140AA008439,Luc1      100
Ba047AB008934,BdTR2F      20
Ba084AB008824,BDTR8N      20
Br002AA009255,Bd21-3      100
Br002AA009261,Bd21-3      100
Ba072AA008665,BdTR5B      100
Ba064AA008510,BdTR3M      100
Ba072AA008371,BdTR5B      100
Br002AB009370,Bd21-3      20
Ba074AB009108,BdTR5G      20
Ba070AA008222,BdTR3T      100
Ba079AB008966,BdTR5M      20
Br001AB009214,Bd21-0      20
Ba064AA008216,BdTR3M      100
Ba074AA008226,BdTR5G      100
Ba019AB008906,Gaz-5      20
Ba140AA008292,Luc1      100
Br002AA009326,Bd21-3      100
Ba076AB009110,BdTR5I      20
Ba045AB008932,BdTR2D      20
Br001AB009442,Bd21-0      20
Ba134AA008727,Mon3      100
Ba074AA008373,BdTR5G      100
Ba136AA008582,Yaz3      100
Ba070AA008516,BdTR3T      100
Ba140AA008586,Luc1      100
Ba076AB008816,BdTR5I      20
Ba136AA008729,Yaz3      100
Ba070AB009104,BdTR3T      20
Br002AA009259,Bd21-3      100
Ba079AA008378,BdTR5M      100
Ba060AB008800,BdTR3B      20
Ba017AA008463,Gaz-3      100
Ba142AA008588,Mon1      100
Ba079AA008525,BdTR5M      100
Ba067AA008219,BdTR3P      100
Ba136AB009023,Yaz3      20
Ba070AA008663,BdTR3T      100
Ba060AB008947,BdTR3B      20
Ba072AB008812,BdTR5B      20
Ba064AA008657,BdTR3M      100
Ba022AA008468,Kah-2      100
Ba057AB009091,BdTR2R      20
Ba023AA008616,Kah-3      100
Ba021AA008467,Gaz-8      100
Ba052AA008351,BdTR2K      100
Ba025AA008324,Koz-2      100
Ba057AA008650,BdTR2R      100
Ba055AB009089,BdTR2O      20
Ba028AA008180,Tek-4      100
Ba137AA008436,Jer1      100
Ba028AB008915,Tek-4      20
Ba025AB008765,Koz-2      20
Ba137AB009171,Jer1      20
Br001AA009196,Bd21-0      100
Ba022AB009056,Kah-2      20
