Ba076AA0013468,BdTR5I    100
Ba001AA0012826,Bd1-1     100
Ba016AA0013564,Gaz-2     100
Ba075AA0013461,BdTR5H    100
Ba022AB0013612,Kah-2     20
Ba032AA0013186,BdTR1C    100
Br001AA0013721,Bd21-0    100
Ba077AB0013477,BdTR5J    20
Ba025AB0013624,Koz-2     20
Ba074AB0013458,BdTR5G    20
Ba052AA0013320,BdTR2K    100
Br002AA0012890,Bd21-3    100
Ba010AA0012725,Adi-13    100
Ba033AA0013193,BdTR1D    100
Ba076AA0013469,BdTR5I    100
Ba021AA0013600,Gaz-8     100
Ba036AB0013211,BdTR1G    20
Ba028AB0013673,Tek-4     20
Ba077AA0013475,BdTR5J    100
Ba028AB0013674,Tek-4     20
Ba148AB0013695,BdTR9H     20
Ba024AA0013616,Kah-6     100
Ba051AA0013313,BdTR2J    100
Ba006AB0012785,Adi-5     20
Ba049AB0013303,BdTR2H    20
Ba018AA0013581,Gaz-4     100
Ba020AB0013597,Gaz-7     20
Ba011AA0012735,Adi-14    100
Ba002AA0012721,Adi-1     100
Ba022AB0013611,Kah-2     20
Ba024AA0013613,Kah-6     100
Ba018AA0013578,Gaz-4     100
Ba087AB0013535,BDTR9G    20
Ba081AA0013503,BdTR5O    100
Ba052AB0013323,BdTR2K    20
Ba020AA0013594,Gaz-7     100
Ba074AB0013457,BdTR5G    20
Ba017AA0013574,Gaz-3     100
Ba005AA0012777,Adi-4     100
Ba015AA0013553,Bis-1     100
Ba019AA0013587,Gaz-5     100
Ba029AB0013682,Tek-5     20
Ba043AB0013260,BdTR2B    20
Ba075AB0013465,BdTR5H    20
Ba021AB0013605,Gaz-8     20
Ba047AB0013289,BdTR2F    20
Ba007AA0012789,Adi-7     100
Ba018AA0013579,Gaz-4     100
Ba093AA0012958,BDTR10D   100
Ba031AA0013179,BdTR1B    100
Ba006AA0012781,Adi-5     100
Ba016AB0013568,Gaz-2     20
Ba016AA0013566,Gaz-2     100
Br001AB0012877,Bd21-0    20
Ba012AA0012742,Adi-15    100
Br002AA0012886,Bd21-3    100
Ba029AB0013680,Tek-5     20
Ba075AA0013459,BdTR5H    100
Ba041AA0013244,BdTR1M    100
Ba081AA0013502,BdTR5O    100
Ba030AB0013177,BdTR1A    20
Ba005AA0012776,Adi-4     100
Ba006AA0012782,Adi-5     100
Ba091AB0012954,BDTR10B   20
Ba047AB0013288,BdTR2F    20
Ba074AB0013456,BdTR5G    20
Ba025AB0013626,Koz-2     20
Ba075AB0013464,BdTR5H    20
Ba052AB0013324,BdTR2K    20
Ba076AA0013466,BdTR5I    100
Ba093AB0012961,BDTR10D   20
Ba042AB0013255,BdTR1N    20
Ba083AB0013519,BDTR8M    20
Ba148AA0013690,BdTR9H     100
Ba031AA0013180,BdTR1B    100
Ba081AA0013501,BdTR5O    100
Ba049AB0013304,BdTR2H    20
Ba010AA0012727,Adi-13    100
Ba004AB0012773,Adi-3     20
Ba091AB0012953,BDTR10B   20
Ba008AA0012796,Adi-8     100
Ba077AA0013474,BdTR5J    100
Ba013AA0012747,Adi-17    100
Ba032AA0013188,BdTR1C    100
Ba003AB0012765,Adi-2     20
Ba001AA0012825,Bd1-1     100
Ba046AA0013278,BdTR2E    100
Ba019AA0013588,Gaz-5     100
Ba012AA0012740,Adi-15    100
Br002AA0013762,Bd21-3    100
Ba017AA0013573,Gaz-3     100
Ba030AB0013178,BdTR1A    20
Ba024AB0013619,Kah-6     20
Br002AB0013781,Bd21-3    20
Ba021AA0013601,Gaz-8     100
Ba033AA0013196,BdTR1D    100
Ba036AB0013212,BdTR1G    20
Ba083AA0013516,BDTR8M    100
Ba012AA0012741,Adi-15    100
Ba041AA0013243,BdTR1M    100
Ba075AB0013463,BdTR5H    20
Ba047AA0013285,BdTR2F    100
Ba010AB0012731,Adi-13    20
Ba011AB0012736,Adi-14    20
Ba013AB0012751,Adi-17    20
Ba093AB0012959,BDTR10D   20
Ba014AB0012757,Adi-18    20
Ba031AB0013183,BdTR1B    20
Ba008AB0012801,Adi-8     20
Ba043AA0013257,BdTR2B    100
Ba003AA0012760,Adi-2     100
Ba032AB0013190,BdTR1C    20
Ba013AA0012749,Adi-17    100
Ba007AB0012793,Adi-7     20
Br002AB0012915,Bd21-3    20
Ba043AA0013258,BdTR2B    100
Ba001AB0012829,Bd1-1     20
Br002AA0013761,Bd21-3    100
Ba008AA0012797,Adi-8     100
Ba004AA0012769,Adi-3     100
Ba033AA0013194,BdTR1D    100
Ba051AA0013312,BdTR2J    100
Ba017AB0013575,Gaz-3     20
Ba091AA0012951,BDTR10B   100
Ba087AB0013533,BDTR9G    20
Ba004AA0012768,Adi-3     100
Ba020AA0013595,Gaz-7     100
Ba002AB0012724,Adi-1     20
Ba002AB0012722,Adi-1     20
Ba022AA0013606,Kah-2     100
Ba014AB0012758,Adi-18    20
Ba005AA0012775,Adi-4     100
Ba034AB0013206,BdTR1E    20
Br002AB0012914,Bd21-3    20
Ba034AA0013200,BdTR1E    100
Ba030AA0013173,BdTR1A    100
Br001AA0013722,Bd21-0    100
Ba046AA0013280,BdTR2E    100
Ba076AB0013471,BdTR5I    20
Ba002AA0012719,Adi-1     100
Br001AA0013723,Bd21-0    100
Ba036AA0013207,BdTR1G    100
Ba025AA0013621,Koz-2     100
Ba024AB0013617,Kah-6     20
Ba005AA0012774,Adi-4     100
Ba019AB0013591,Gaz-5     20
Ba016AB0013570,Gaz-2     20
Ba042AB0013253,BdTR1N    20
Ba052AA0013319,BdTR2K    100
Ba087AA0013530,BDTR9G    100
Ba049AA0013301,BdTR2H    100
Ba036AA0013210,BdTR1G    100
Ba074AA0013452,BdTR5G    100
Br001AB0012878,Bd21-0    20
Ba034AA0013202,BdTR1E    100
Ba049AA0013298,BdTR2H    100
Ba042AA0013249,BdTR1N    100
Ba008AB0012799,Adi-8     20
Ba029AA0013677,Tek-5     100
Ba043AB0013262,BdTR2B    20
Ba042AB0013254,BdTR1N    20
Ba046AA0013279,BdTR2E    100
Ba051AB0013318,BdTR2J    20
Ba083AA0013518,BDTR8M    100
Ba010AB0012729,Adi-13    20
Ba025AA0013623,Koz-2     100
Br001AB0012881,Bd21-0    20
Ba046AA0013277,BdTR2E    100
Ba091AA0012948,BDTR10B   100
Br001AB0012879,Bd21-0    20
Ba021AA0013599,Gaz-8     100
Ba033AB0013197,BdTR1D    20
Ba004AB0012772,Adi-3     20
Ba019AB0013589,Gaz-5     20
Ba001AB0012827,Bd1-1     20
Br002AA0013763,Bd21-3    100
Ba006AB0012786,Adi-5     20
Ba022AA0013607,Kah-2     100
Ba011AA0012733,Adi-14    100
Br001AB0012880,Bd21-0    20
Ba003AB0012766,Adi-2     20
Ba081AA0013504,BdTR5O    100
Ba028AA0013671,Tek-4     100
Ba013AB0012752,Adi-17    20
