"Accession" "Drought" "Heat" "Heat.Drought"
"1" "ABR12" 6.76329242179465 11.8839147282781 13.0174714997916
"2" "ABR14" 7.49974527222302 10.7497405783081 9.41045136615694
"3" "ABR2" 5.27087722356737 9.83429125153434 9.15131750141745
"4" "ABR3" 6.87544135636503 9.75591293358102 9.8970280020184
"5" "ABR4" 4.75148286904165 7.94082335355462 8.98600210479417
"6" "ABR5" 4.80375359784579 6.72889641854979 7.07574392762485
"7" "ABR6" 6.12819079670013 8.62017289795418 8.98034955107056
"8" "ABR7" 4.00595012675528 8.11553801570914 9.93641499735299
"9" "ABR9" 3.10127387447132 8.03782490728848 7.27980228093898
"10" "Adi-1" 4.9517312948829 9.88600128141357 9.63013966862053
"11" "Adi-13" 5.3458476820165 8.41994106948834 10.5920120202207
"12" "Adi-14" 5.74793964983618 9.53950722734711 9.31030390263669
"13" "Adi-15" 5.09259231992317 11.5892474254514 12.4144953000093
"14" "Adi-17" 4.74669752063 7.03194781414441 7.71984755227657
"15" "Adi-18" 9.65536067980807 11.4418272868331 12.2540357813506
"16" "Adi-2" 4.77099236641221 7.54384595582049 7.84259264074646
"17" "Adi-3" 2.67059251742308 6.42784171775857 6.81757429896655
"18" "Adi-4" 5.03688595636193 9.33527231169452 9.77600335706057
"19" "Adi-5" 2.24800944230223 7.52299457305562 7.820582201978
"20" "Adi-7" 5.07173310889804 10.241004592522 11.1331879512873
"21" "Adi-8" 0.7663919533115 4.90198214718279 7.01001525371668
"22" "Adi-9" 7.79030181167892 13.0369097650656 13.3226170699512
"23" "Arc1" 4.08840536092521 6.90127406155984 8.11306711331583
"24" "Bd1-1" 5.17860589009148 8.37956509321525 8.40100762928172
"25" "Bd21-0" 4.88238464332778 10.5701181970128 11.6150260390087
"26" "Bd21-3" 6.53838826416731 10.9066444005175 10.9461539101984
"27" "BdTR10A" 3.63735559781714 8.5499441010219 8.80030019779789
"28" "BdTR10B" 5.46634030099694 6.38220881161745 8.39896625786843
"29" "BdTR10D" 5.16817628457893 9.44044466744892 9.44044466744892
"30" "BdTR10E" 1.47793645175102 4.08069497074356 5.88070894432274
"31" "BdTR10H" 6.893969243805 8.66851533865643 9.92348322654623
"32" "BdTR10I" 2.6378312859895 7.65298354132684 8.85724272905946
"33" "BdTR10J" 4.59835171986894 6.91229631463171 7.37649824407051
"34" "BdTR10K" 4.45037402283185 7.77047325002667 9.19582237044457
