"","Accession","Country","Latitude","Longitude","Elevation","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","euclid"
"37","BdTR1H","Turkey",39.738056,28.040278,363,132,109,36,6834,295,0,295,64,216,220,46,671,112,12,56,292,50,53,290,0.00283309371535773
"38","BdTR1I","Turkey",38.093056,28.583056,841,138,116,38,6942,308,3,305,51,225,228,51,703,141,9,70,359,40,44,359,0.00477917296420562
"39","BdTR1J","Turkey",37.427222,28.585278,513,158,125,38,7216,342,17,325,69,250,253,69,866,186,7,81,481,31,37,481,0.00295279739308025
"40","BdTR1K","Turkey",39.759444,29.678056,1007,100,107,37,6470,258,-31,289,15,177,180,15,676,100,16,44,261,65,79,261,0.00325157138081239
"41","BdTR1M","Turkey",39.086667,30.2525,1076,106,114,36,7056,279,-33,312,14,192,195,14,486,64,12,38,166,49,68,166,0.00186324093393191
"42","BdTR1N","Turkey",39.099722,30.245556,1034,104,113,36,7063,278,-34,312,12,190,194,12,497,66,12,39,170,50,69,170,0.00389854360273668
"43","BdTR2B","Turkey",40.082222,31.331111,667,122,109,35,7216,290,-19,309,27,209,212,27,458,57,16,33,149,58,80,149,0.00362153198088219
"44","BdTR2C","Turkey",39.085833,31.891389,864,117,114,35,7147,291,-26,317,107,204,207,23,387,49,8,38,133,37,58,115,0.00423121850062122
"45","BdTR2D","Turkey",38.429722,31.309444,1301,103,110,35,7074,275,-35,310,12,190,193,12,539,67,13,41,185,47,73,185,0.00310604750624877
"46","BdTR2E","Turkey",38.428056,32.404444,1012,107,132,38,7445,296,-48,344,98,197,201,9,366,49,6,45,133,26,40,113,0.0011447681958758
"47","BdTR2F","Turkey",37.778333,31.885,1288,100,116,35,7520,279,-50,329,3,192,196,3,505,74,9,48,201,35,50,201,0.00263533681170822
"48","BdTR2G","Turkey",40.393611,32.985278,1596,66,102,33,7218,230,-77,307,-31,153,154,-31,636,84,20,41,222,67,100,222,0.00314261824666636
"49","BdTR2H","Turkey",39.756389,32.432222,787,120,123,36,7524,305,-31,336,21,212,215,21,366,47,9,39,121,37,54,121,0.00377807189209965
"50","BdTR2I","Turkey",39.754444,33.537778,872,113,114,34,7718,292,-36,328,106,207,210,11,401,55,7,44,138,33,52,135,0.000392680248753019
"51","BdTR2J","Turkey",39.412778,32.988056,1192,101,113,34,7758,282,-49,331,93,196,198,-2,396,56,6,46,142,30,46,133,0.000621626897748418
"52","BdTR2K","Turkey",39.758056,34.071667,1142,120,126,37,7552,304,-34,338,112,211,215,20,390,50,7,42,131,34,51,131,0.00397767694624953
"53","BdTR2M","Turkey",38.098056,34.094444,1406,90,128,37,7435,277,-65,342,82,180,184,-8,326,51,5,51,134,20,40,92,0.00262116276149793
"54","BdTR2N","Turkey",37.767778,33.519722,1013,108,141,39,7505,300,-53,353,103,198,203,9,313,43,3,49,115,16,28,104,0.00325117264310536
"55","BdTR2O","Turkey",39.756389,32.432222,787,120,123,36,7524,305,-31,336,21,212,215,21,366,47,9,39,121,37,54,121,0.00377807189209965
"56","BdTR2P","Turkey",39.754444,33.537778,872,113,114,34,7718,292,-36,328,106,207,210,11,401,55,7,44,138,33,52,135,0.000392680248753019
"57","BdTR2R","Turkey",39.412778,32.988056,1192,101,113,34,7758,282,-49,331,93,196,198,-2,396,56,6,46,142,30,46,133,0.000621626897748418
"58","BdTR2S","Turkey",39.758056,34.071667,1142,120,126,37,7552,304,-34,338,112,211,215,20,390,50,7,42,131,34,51,131,0.00397767694624953
"59","BdTR3A","Turkey",37.767778,33.519722,1013,108,141,39,7505,300,-53,353,103,198,203,9,313,43,3,49,115,16,28,104,0.00325117264310536
"60","BdTR3B","Turkey",37.108889,34.071389,2385,50,107,33,7338,223,-94,317,-45,140,143,-45,581,82,9,52,218,32,55,218,0.00365350331113628
"61","BdTR3F","Turkey",39.092222,35.188611,1249,87,131,38,7137,270,-70,340,81,171,175,-9,406,55,7,45,150,32,55,123,0.00377836597542273
"62","BdTR3H","Turkey",37.778611,35.202778,3196,-2,106,32,7520,175,-151,326,-15,89,90,-101,719,94,13,51,273,46,81,249,0.00149571406213944
"63","BdTR3I","Turkey",39.7475,36.815833,1574,83,128,36,7628,273,-79,352,78,173,175,-21,428,62,7,47,165,32,55,124,0.00372648182309756
"64","BdTR3M","Turkey",37.766111,37.89,614,157,120,32,8934,364,-8,372,43,270,272,43,564,101,2,74,280,9,13,280,0.00439196095155502
"65","BdTR3N","Turkey",37.434444,36.819444,787,157,120,34,8250,346,-2,348,51,260,261,51,711,127,3,76,362,15,16,362,0.00335699018631631
"66","BdTR3O","Turkey",37.1175,39.030556,448,180,130,34,8818,390,16,374,68,291,294,68,435,78,0,78,219,2,4,219,0.00361128207454366
"67","BdTR3P","Turkey",37.761667,39.5825,1156,147,112,29,9535,356,-23,379,26,269,269,26,673,108,2,71,299,8,8,299,0.00343584052466082
"68","BdTR3R","Turkey",37.437222,40.130833,710,163,135,34,9244,384,-10,394,46,280,282,46,556,91,0,75,256,3,6,256,0.00168936401574133
"69","BdTR3S","Turkey",38.095556,40.658611,688,156,131,32,9510,381,-20,401,47,277,278,34,589,87,1,69,250,7,11,244,0.003898876091615
